year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1964,39,Ronny and The Daytona,G.T.O.,-1,-1
1964,40,Beatles,Twist And Shout,74,88
1964,41,Johnny Rivers,Memphis,-1,46
1964,42,Danny Williams,White On White,-1,25
1964,43,Rip Chords,Hey Little Cobra,27,20
1964,44,Betty Everett,The Shoop Shoop Song (It’s In His Kiss),-1,42
1964,45,Dave Clark Five,Bits And Pieces,-1,29
1964,46,Millie Small,My Boy Lollipop,-1,37
1964,47,Major Lance,"Um, Um, Um, Um, Um, Um",-1,51
1964,48,Jan and Dean,The Little Old Lady,40,43
1964,49,Gerry and The Pacemakers,Don’t Let The Sun Catch You Crying,-1,51
1964,50,Chad and Jeremy,A Summer Song,-1,39
1964,51,Stan Getz and Astrud Gilberto,The Girl From Ipanema,-1,-1
1964,52,Beatles,Can’t Buy Me Love,-1,88
1964,53,Shangri-Las,Remember (Walkin’ In The Sand),-1,45
1964,54,Bobby Freeman,C’mon And Swim,-1,32
1964,55,Beatles,Do You Want To Know A Secret,59,88
1964,56,Impressions,Keep On Pushing,38,53
1964,57,Four Tops,Baby I Need Your Loving,-1,66
1964,58,Diane Renay,Navy Blue,-1,16
1964,59,Bachelors,Diane,-1,36
1964,60,Marketts,Out Of Limits,49,37
1964,61,Hondells,Little Honda,-1,14
1964,62,Bobby Goldsboro,See The Funny Little Clown,-1,47
1964,63,Dave Clark Five,Because,-1,29
1964,64,Reflections,(Just Like) Romeo And Juliet,-1,34
1964,65,Rick Nelson,For You,-1,0
1964,66,New Christy Minstrels,Today,27,34
1964,67,Dave Clark Five,Can’t You See That She’s Mine,-1,29
1964,68,Shangri-Las,Leader Of The Pack,-1,45
1964,69,Joe Hinton,Funny,-1,8
1964,70,Temptations,The Way You Do The Things You Do,63,71
1964,71,Dionne Warwick,Anyone Who Had A Heart,39,63
1964,72,Al Martino,I Love You More And More Every Day,-1,47
1964,73,Roy Orbison,It’s Over,-1,68
1964,74,Four Seasons,Ronnie,-1,65
1964,75,Trashmen,Surfin’ Bird,5,43
1964,76,Tams,What Kind Of Fool (Do You Think I Am),-1,33
1964,77,Dean Martin,The Door Is Still Open To My Heart,27,78
1964,78,Kinks,You Really Got Me,70,70
1964,79,Sammy Davis Jr.,The Shelter Of Your Arms,14,55
1964,80,Impressions,I’m So Proud,-1,53
1964,81,Jelly Beans,I Wanna Love Him So Bad,-1,26
1964,82,Roger Miller,Chug-a-lug,-1,54
1964,83,Roger Miller,Dang Me,-1,54
1964,84,Al Hirt,Cotton Candy,20,39
1964,85,Nancy Wilson,(You Don’t Know) How Glad I Am,-1,56
1964,86,Kingsmen,Money,-1,53
1964,87,Searchers,Don’t Throw Your Love Away,-1,50
1964,88,Tommy Tucker,Hi-heel Sneakers,-1,22
1964,89,Gerry and The Pacemakers,How Do You Do It!,-1,51
1964,90,The Ventures,Walk Don’t Run,-1,50
1964,91,Dave Clark Five,Do You Love Me,-1,29
1964,92,"Robert Maxwell, His Harp and Orch.",Shangri-La,-1,-1
1964,93,Gene Simmons,Haunted Houses,-1,32
1964,94,Jimmy Hughes,Steal Away,-1,26
1964,95,Beatles,I Saw Her Standing There,67,88
1964,96,Andy Williams,A Fool Never Learns,10,76
1964,97,Billy J. Kramer and The Dakotas,Bad To Me,-1,6
1964,98,Bobby Vinton,There! I’ve Said It Again,-1,59
1964,99,The Kingsmen,Louie Louie,-1,53
1964,100,Searchers,Needles And Pins,57,50
1965,1,Sam The Sham and The Pharaohs,Wooly Bully,-1,45
1965,2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch),-1,66
1965,3,Rolling Stones,(I Can’t Get No) Satisfaction,-1,81
1965,4,We Five,You Were On My Mind,-1,25
